positionName,salary,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,businessZones,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate
数据分析师,5k-9k,['数据分析'],1-3年,"福利好,待遇棒,补贴多,老板好",大专,全职,['数据分析'],深圳,深圳市叁亿广告有限公司,叁亿广告,"['午餐补助', '绩效奖金', '年底双薪', '下午茶']",15-50人,南山区,不需要融资,"移动互联网,社交",['科技园'],市场|商务类,市场|营销,其他市场|营销,22.543597,113.937511,0,0
实习岗-数据分析,4k-8k,"['大数据', '数据挖掘', '数据分析']",不限,"技术氛围,技术前沿,数据意识,发展舞台",硕士,实习,"['数据挖掘', '数据分析']",深圳,风变科技（深圳）有限公司,风变科技（深圳）有限公司,"['专项奖金', '带薪年假', '定期体检', '六险一金']",150-500人,南山区,A轮,"移动互联网,教育",,开发|测试|运维类,数据开发,数据分析,22.546157,113.946882,2,100
数据分析岗,10k-15k,['数据处理'],不限,行业资深师傅 平台发展,本科,全职,['数据处理'],深圳,深圳复融数据科技有限公司,复融数据科技,[],50-150人,福田区,A轮,"金融,数据服务",['新洲'],开发|测试|运维类,数据开发,数据分析,22.537137,114.051095,0,0
数据分析师,10k-18k,['数据分析'],1-3年,五险一金、交通补贴、绩效奖金、年终奖金,本科,全职,['数据分析'],深圳,深圳市盛达瑞智能科技有限公司,盛达瑞,[],50-150人,南山区,不需要融资,移动互联网,"['西丽', '大冲', '科技园']",产品|需求|项目类,数据分析,数据分析,22.547674,113.945686,0,0
【国际业务部】高级数据分析工程师（深圳）,23k-46k,"['Hadoop', 'Spark', 'Scala', '数据分析']",3-5年,国际业务、大平台,本科,全职,"['Hadoop', 'Spark', 'Scala', '数据分析']",深圳,腾讯科技（深圳）有限公司,腾讯,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,南山区,上市公司,社交,"['南油', '后海', '科技园']",开发|测试|运维类,数据开发,数据分析,22.522641,113.934494,5,8
电商数据分析师,25k-30k,['电商运营'],不限,入职补贴、住房补贴、交通补贴,本科,全职,['电商运营'],深圳,维沃移动通信有限公司,vivo,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,福田区,未融资,硬件,,运营|编辑|客服类,运营,电商运营,22.567334,114.060635,0,0
数据分析师（实习生）,3k-5k,['大数据'],应届毕业生,"转正机会,培训",本科,实习,[],深圳,深圳大数易智慧科技有限公司,BDS大数易,"['年底双薪', '股票期权', '绩效奖金', '专项奖金']",少于15人,福田区,天使轮,人工智能,,开发|测试|运维类,数据开发,数据分析,22.541321,114.08763,3,100
数据分析师,8k-15k,"['电商', '数据分析']",1-3年,晋升空间大,本科,全职,['数据分析'],深圳,深圳市油柑科技有限公司,油柑网,"['绩效奖金', '带薪年假', '优秀团队', '五险一金']",15-50人,福田区,未融资,电商,"['振华路', '上步', '华强北']",产品|需求|项目类,数据分析,数据分析,22.543821,114.08596,0,0
数据分析师,6k-12k,"['SPSS', 'SQL', '可视化', '数据分析']",3-5年,发展前景好、晋升空间大,本科,全职,"['SPSS', 'SQL', '可视化', '数据分析']",深圳,深圳市博函信息技术有限公司,博函技术,"['带薪年假', '绩效奖金', '岗位晋升', '扁平管理']",15-50人,龙华新区,不需要融资,"移动互联网,企业服务",,产品|需求|项目类,数据分析,数据分析,22.618679,114.046832,0,0
数据分析,10k-20k,[],1-3年,"绩效奖金,弹性工作,五险一金",本科,全职,['数据分析'],深圳,深圳市小赢科技有限责任公司,小赢科技,"['五险一金', '两餐补助', '超低息员工贷', '年底奖金']",500-2000人,南山区,上市公司,金融,,产品|需求|项目类,数据分析,数据分析,22.519131,113.941779,0,0
